Wall time,Step,Value
1526689099.4708178,9554,9150.845703125
1526689100.410742,9567,8537.849609375
1526689104.7429109,9627,7754.3935546875
1526689106.9097643,9657,8278.541015625
1526689108.573939,9680,7647.92578125
1526689109.8730917,9698,7992.3671875
1526689114.9388657,9768,7660.53173828125
1526689120.3546464,9843,7451.4775390625
1526689124.9789977,9907,7638.59375
1526689137.7940378,10058,7647.70703125
1526689139.6748903,10084,7732.89892578125
1526689145.7551856,10168,7328.7841796875
1526689153.5736408,10276,7525.0390625
1526689154.0783594,10283,8243.1787109375
1526689162.263194,10396,7787.92822265625
1526689162.47946,10399,8146.482421875
1526689163.9982717,10420,7704.5087890625
1526689168.2815607,10479,7633.0380859375
1526689169.0012085,10489,7973.28857421875
1526689171.3972347,10522,7821.7587890625
1526689177.5469978,10607,7546.6318359375
1526689178.7741408,10624,7335.49609375
1526689179.7877383,10638,7736.6416015625
1526689180.9433916,10654,6924.0791015625
1526689182.1750777,10671,8147.896484375
1526689185.067557,10711,7615.9169921875
1526689188.4000037,10757,7665.06982421875
1526689188.4716542,10758,7925.9189453125
1526689190.0595312,10780,7449.4638671875
1526689192.5991952,10815,7382.47900390625
1526689194.4820933,10841,8081.115234375
1526689195.130036,10850,7907.64111328125
1526689198.892729,10902,7902.99560546875
1526689199.1093638,10905,7545.0908203125
1526689201.5720844,10939,7345.2705078125
1526689201.8603518,10943,7610.1748046875
1526689203.5293965,10966,7602.50146484375
1526689203.9614227,10972,7002.2734375
1526689204.104264,10974,7474.03125
1526689207.0032055,11014,7552.7666015625
1526689207.4404838,11020,7214.01953125
1526689208.3772364,11033,6928.302734375
1526689208.7376833,11038,7756.3701171875
1526689213.3674772,11102,7855.06201171875
1526689214.73913,11121,7492.25927734375
1526689215.391215,11130,7515.4716796875
1526689220.306043,11198,7075.82666015625
1526689220.4490778,11200,7950.18359375
1526689220.5218024,11201,7234.49462890625
1526689224.787826,11260,7435.39453125
1526689236.3026793,11419,7196.13623046875
1526689240.1327772,11472,7707.658203125
1526689241.580009,11492,6870.509765625
1526689243.8251154,11523,7044.9638671875
1526689244.4785054,11532,7417.83154296875
1526689245.7057035,11549,6949.28466796875
1526689246.93301,11566,7783.58837890625
1526689249.1759565,11597,7643.4609375
1526689252.862282,11648,7305.6201171875
1526689254.5268126,11671,7434.7431640625
1526689255.5409472,11685,7306.3505859375
1526689260.8931892,11759,7508.0703125
1526689269.1458316,11873,7528.568359375
1526689276.0940316,11969,7011.896484375
1526689276.45636,11974,7836.35693359375
1526689280.4421268,12010,7064.125
1526689282.6866045,12041,7802.880859375
1526689289.7112744,12138,7339.0673828125
1526689291.5953083,12164,7508.7197265625
1526689291.8819122,12168,7190.40380859375
1526689293.0401306,12184,7035.98681640625
1526689296.0821662,12226,7326.3125
1526689300.716722,12290,7847.3115234375
1526689300.9325294,12293,7390.3271484375
1526689302.087423,12309,6904.82666015625
1526689309.0333025,12405,7345.8515625
1526689312.8829722,12458,7001.79443359375
1526689319.7529368,12553,7309.46826171875
1526689328.2811182,12671,7418.0771484375
1526689330.3076022,12699,7026.203125
1526689334.5734913,12758,7324.1123046875
1526689337.969618,12805,7286.7275390625
1526689343.1869395,12877,7421.23388671875
1526689344.5607367,12896,7521.2060546875
1526689347.671691,12939,7197.26953125
1526689353.3182416,13017,7839.05126953125
1526689354.5493844,13034,7497.8212890625
1526689356.5080843,13061,7500.99609375
1526689358.0249515,13082,7136.580078125
1526689358.8936942,13094,7660.9716796875
1526689359.978928,13109,6813.55224609375
1526689360.2725258,13113,7382.86083984375
1526689361.5012195,13130,7339.3046875
1526689364.1007247,13166,7639.5634765625
1526689367.0011506,13206,7143.3115234375
1526689369.3943481,13239,7421.92724609375
1526689377.3553395,13349,7145.9482421875
1526689381.1900132,13402,7185.4072265625
1526689381.4779596,13406,7258.12158203125
1526689382.9230049,13426,7122.6748046875
1526689386.4677806,13475,7238.67578125
1526689388.570587,13504,7157.25146484375
1526689391.6097493,13546,7151.09912109375
1526689395.302148,13597,7460.5244140625
1526689396.9650009,13620,7269.77734375
1526689401.2384663,13679,7203.212890625
1526689401.4542654,13682,7310.6982421875
1526689406.1624796,13747,7119.896484375
1526689408.2634256,13776,7249.34765625
1526689410.721814,13810,7022.724609375
1526689413.2537014,13845,7618.59375
1526689416.0711815,13884,7211.8681640625
